project_id,start_date,end_date,planned_duration,planned_budget,actual_budget,budget_overrun_pct,team_size,priority,department,program_type,risk_level,complexity,manager_experience,scope_changes,delayed_tasks,resource_utilization_pct,schedule_overrun_pct,success,ROI,customer_satisfaction
PRJ-1000,2022-05-10,2022-09-19,132,958002.21,1096694.27,14.48,21,Medium,IT,System Upgrade,7.74,4.81,4,1,3,75.71,55.34,0,-12.74,1.9
PRJ-1001,2022-04-11,2022-07-04,84,2360476.32,2115942.07,-10.36,39,High,Marketing,New Product Launch,2.7,5.75,7,0,3,77.51,22.96,0,-2.69,2.73
PRJ-1002,2022-10-22,2023-02-09,110,2154521.58,2401429.66,11.46,31,Medium,HR,New Product Launch,2.21,6.48,8,5,4,86.71,21.74,0,-16.48,2.38
PRJ-1003,2021-01-13,2021-11-27,318,416521.03,361813.43,-13.13,41,Medium,IT,New Product Launch,6.32,5.48,9,2,6,94.73,60.03,0,-14.99,2.38
PRJ-1004,2022-06-10,2022-07-24,44,584062.56,623433.88,6.74,34,High,Marketing,Compliance,4.4,3.44,7,2,1,89.24,41.33,1,35.24,3.86
PRJ-1005,2020-07-08,2021-03-25,260,594757.03,645377.19,8.51,29,Medium,HR,Process Improvement,7.55,4.42,9,1,5,88.01,38.4,0,-12.16,2.12
PRJ-1006,2022-08-09,2023-06-29,324,232590.39,247021.7,6.2,25,Medium,HR,Cost Reduction,9.93,5.96,19,3,7,82.41,78.62,0,-11.14,1.52
PRJ-1007,2022-08-12,2023-05-20,281,1140193.19,1295599.11,13.63,28,High,HR,System Upgrade,1.9,5.14,7,1,2,77.17,23.68,1,24.87,3.9
PRJ-1008,2022-10-13,2023-03-03,141,2607347.66,2770476.16,6.26,34,Low,IT,Process Improvement,6.0,2.12,3,7,6,96.91,21.58,1,9.44,3.07
PRJ-1009,2021-02-04,2022-01-03,333,1574900.92,1532906.72,-2.67,14,Medium,Finance,System Upgrade,9.55,5.29,14,4,8,84.88,73.52,0,-17.13,1.38
