shift_id,shift,units_per_hour,defect_rate,meets_sla
1,D,262.02,0.42,0
2,C,273.46,0.417,0
3,C,191.86,0.299,0
4,D,304.23,0.346,1
5,C,337.39,0.32,1
6,A,290.9,0.445,1
7,D,323.59,0.059,1
8,B,451.62,0.317,1
9,B,93.19,0.192,0
10,A,326.63,0.493,1
11,A,480.47,0.428,1
12,A,333.52,0.117,1
13,D,119.56,0.277,0
14,A,42.07,0.214,0
15,D,346.92,0.289,1
16,D,109.46,0.437,0
17,D,491.46,0.031,1
18,A,272.7,0.115,0
19,D,45.24,0.324,0
20,D,21.61,0.254,0
21,C,47.5,0.321,0
22,B,68.93,0.459,0
23,B,489.6,0.366,1
24,C,88.66,0.06,0
25,D,219.72,0.195,0
26,A,312.97,0.089,1
27,B,465.55,0.1,1
28,C,365.23,0.161,1
29,A,11.3,0.429,0
30,D,429.42,0.435,1
31,A,194.15,0.227,0
32,A,474.96,0.325,1
33,A,265.9,0.408,0
34,A,366.99,0.26,1
35,A,458.71,0.323,1
36,A,166.16,0.118,0
37,D,42.54,0.338,0
38,B,325.66,0.255,1
39,B,23.97,0.251,0
40,B,169.69,0.408,0
41,B,131.24,0.232,0
42,A,217.84,0.319,0
43,C,353.2,0.175,1
44,A,497.23,0.082,1
45,C,357.49,0.385,1
46,D,172.53,0.073,0
47,C,441.29,0.276,1
48,D,214.77,0.346,0
49,C,63.03,0.36,0
50,C,14.09,0.128,0
51,B,206.95,0.424,0
52,A,31.19,0.305,0
53,C,112.63,0.455,0
54,A,119.6,0.106,0
55,A,148.51,0.123,0
56,C,271.46,0.342,0
57,B,76.73,0.138,0
58,D,182.21,0.336,0
59,D,257.15,0.057,0
60,D,240.79,0.473,0
61,C,233.78,0.008,0
62,D,353.56,0.277,1
63,B,449.76,0.452,1
64,D,230.36,0.334,0
65,D,25.14,0.062,0
66,A,473.37,0.021,1
67,B,60.99,0.164,0
68,B,459.85,0.065,1
69,D,219.64,0.106,0
70,D,302.76,0.404,1
71,D,162.67,0.053,0
72,A,82.89,0.314,0
73,C,385.32,0.458,1
74,C,198.48,0.095,0
75,C,384.25,0.483,1
76,D,354.22,0.37,1
77,D,302.56,0.416,1
78,C,119.86,0.045,0
79,C,348.93,0.211,1
80,B,192.98,0.404,0
81,A,315.57,0.379,1
82,A,68.6,0.474,0
83,D,138.35,0.059,0
84,B,411.91,0.489,1
85,D,451.68,0.349,1
86,A,160.84,0.219,0
87,C,492.59,0.436,1
88,A,89.05,0.04,0
89,D,235.94,0.009,0
90,A,103.67,0.288,0
91,A,179.02,0.328,0
92,C,274.31,0.385,0
93,D,141.64,0.163,0
94,C,289.06,0.339,1
95,C,342.81,0.115,1
96,D,117.26,0.487,0
97,B,12.16,0.018,0
98,B,315.04,0.121,1
99,A,437.53,0.19,1
100,A,245.89,0.313,0
101,C,456.05,0.44,1
102,B,463.69,0.089,1
103,A,368.63,0.134,1
104,A,444.73,0.285,1
105,C,107.34,0.024,0
106,C,404.79,0.363,1
107,C,106.33,0.02,0
108,B,413.09,0.435,1
109,D,120.89,0.498,0
110,B,184.38,0.453,0
111,A,307.43,0.334,1
112,C,338.29,0.008,1
113,C,463.59,0.344,1
114,C,486.36,0.193,1
115,B,292.86,0.422,1
116,B,70.05,0.26,0
117,D,420.89,0.47,1
118,A,142.47,0.246,0
119,C,206.04,0.256,0
120,B,437.92,0.057,1
121,B,292.97,0.307,1
122,D,215.87,0.373,0
123,C,340.6,0.174,1
124,A,186.9,0.412,0
125,D,157.63,0.09,0
126,C,78.35,0.224,0
127,B,357.3,0.308,1
128,D,185.64,0.192,0
129,A,130.36,0.265,0
130,A,54.92,0.136,0
131,C,361.17,0.375,1
132,A,171.98,0.438,0
133,B,387.8,0.02,1
134,C,167.36,0.12,0
135,A,465.9,0.133,1
136,C,389.46,0.053,1
137,A,412.35,0.004,1
138,C,448.2,0.358,1
139,C,233.97,0.203,0
140,B,365.55,0.318,1
141,D,52.43,0.398,0
142,D,57.04,0.486,0
143,C,266.77,0.452,0
144,C,490.43,0.368,1
145,B,117.53,0.184,0
146,B,451.39,0.16,1
147,B,320.73,0.499,1
148,C,16.02,0.039,0
149,D,313.02,0.39,1
150,B,99.22,0.15,0
151,C,305.27,0.224,1
152,D,162.41,0.45,0
153,C,292.31,0.493,1
154,B,94.41,0.212,0
155,C,370.17,0.172,1
156,A,72.63,0.346,0
157,D,71.64,0.433,0
158,B,359.79,0.287,1
159,D,175.28,0.208,0
160,C,440.14,0.131,1
161,B,93.2,0.342,0
162,B,386.76,0.232,1
163,B,191.69,0.025,0
164,D,144.18,0.471,0
165,A,234.91,0.21,0
166,C,136.56,0.486,0
167,B,157.99,0.159,0
168,A,102.53,0.165,0
169,A,141.26,0.22,0
170,A,70.97,0.327,0
171,B,298.91,0.054,1
172,A,443.9,0.423,1
173,C,496.58,0.499,1
174,A,459.64,0.14,1
175,B,492.4,0.153,1
176,D,41.79,0.049,0
177,D,326.11,0.074,1
178,A,370.26,0.317,1
179,A,468.49,0.231,1
180,D,435.84,0.133,1
181,A,177.5,0.28,0
182,C,253.66,0.004,0
